"patient"	"sample"	"plate"	"cell"	"Cell_Type"	"Cell_Type_and_Condition"	"Condition"
"P1_G10_S82"	"P1"	"S1"	"P1"	"P1_G10_S82"	"HCT116"	"HCT116-infected"	"Infected"
"P1_G12_S84"	"P1"	"S1"	"P1"	"P1_G12_S84"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H03_S87"	"P1"	"S1"	"P1"	"P1_H03_S87"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H04_S88"	"P1"	"S1"	"P1"	"P1_H04_S88"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H06_S90"	"P1"	"S1"	"P1"	"P1_H06_S90"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H07_S91"	"P1"	"S1"	"P1"	"P1_H07_S91"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H08_S92"	"P1"	"S1"	"P1"	"P1_H08_S92"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H09_S93"	"P1"	"S1"	"P1"	"P1_H09_S93"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H11_S95"	"P1"	"S1"	"P1"	"P1_H11_S95"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H12_S96"	"P1"	"S1"	"P1"	"P1_H12_S96"	"HCT116"	"HCT116-infected"	"Infected"
"P2_A02_S98"	"P1"	"S1"	"P2"	"P2_A02_S98"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_A03_S99"	"P1"	"S1"	"P2"	"P2_A03_S99"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_A04_S100"	"P1"	"S1"	"P2"	"P2_A04_S100"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_A05_S101"	"P1"	"S1"	"P2"	"P2_A05_S101"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_A06_S102"	"P1"	"S1"	"P2"	"P2_A06_S102"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_A07_S103"	"P1"	"S1"	"P2"	"P2_A07_S103"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_A08_S104"	"P1"	"S1"	"P2"	"P2_A08_S104"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_A09_S105"	"P1"	"S1"	"P2"	"P2_A09_S105"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_A10_S106"	"P1"	"S1"	"P2"	"P2_A10_S106"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_A11_S107"	"P1"	"S1"	"P2"	"P2_A11_S107"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_A12_S108"	"P1"	"S1"	"P2"	"P2_A12_S108"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B02_S110"	"P1"	"S1"	"P2"	"P2_B02_S110"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B03_S111"	"P1"	"S1"	"P2"	"P2_B03_S111"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B04_S112"	"P1"	"S1"	"P2"	"P2_B04_S112"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B05_S113"	"P1"	"S1"	"P2"	"P2_B05_S113"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B06_S114"	"P1"	"S1"	"P2"	"P2_B06_S114"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B07_S115"	"P1"	"S1"	"P2"	"P2_B07_S115"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B08_S116"	"P1"	"S1"	"P2"	"P2_B08_S116"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B09_S117"	"P1"	"S1"	"P2"	"P2_B09_S117"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B10_S118"	"P1"	"S1"	"P2"	"P2_B10_S118"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B11_S119"	"P1"	"S1"	"P2"	"P2_B11_S119"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_B12_S120"	"P1"	"S1"	"P2"	"P2_B12_S120"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_C02_S122"	"P1"	"S1"	"P2"	"P2_C02_S122"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_C03_S123"	"P1"	"S1"	"P2"	"P2_C03_S123"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_C04_S124"	"P1"	"S1"	"P2"	"P2_C04_S124"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_C06_S126"	"P1"	"S1"	"P2"	"P2_C06_S126"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_C07_S127"	"P1"	"S1"	"P2"	"P2_C07_S127"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_C08_S128"	"P1"	"S1"	"P2"	"P2_C08_S128"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_C09_S129"	"P1"	"S1"	"P2"	"P2_C09_S129"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_C10_S130"	"P1"	"S1"	"P2"	"P2_C10_S130"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_C11_S131"	"P1"	"S1"	"P2"	"P2_C11_S131"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_C12_S132"	"P1"	"S1"	"P2"	"P2_C12_S132"	"Jurkat"	"Jurkat-infected"	"Infected"
"P2_D02_S134"	"P1"	"S1"	"P2"	"P2_D02_S134"	"HCT116"	"HCT116-infected"	"Infected"
"P2_D03_S135"	"P1"	"S1"	"P2"	"P2_D03_S135"	"HCT116"	"HCT116-infected"	"Infected"
"P2_D09_S141"	"P1"	"S1"	"P2"	"P2_D09_S141"	"HCT116"	"HCT116-infected"	"Infected"
"P2_D10_S142"	"P1"	"S1"	"P2"	"P2_D10_S142"	"HCT116"	"HCT116-infected"	"Infected"
"P2_D11_S143"	"P1"	"S1"	"P2"	"P2_D11_S143"	"HCT116"	"HCT116-infected"	"Infected"
"P2_E02_S146"	"P1"	"S1"	"P2"	"P2_E02_S146"	"HCT116"	"HCT116-infected"	"Infected"
"P2_E03_S147"	"P1"	"S1"	"P2"	"P2_E03_S147"	"HCT116"	"HCT116-infected"	"Infected"
"P2_E04_S148"	"P1"	"S1"	"P2"	"P2_E04_S148"	"HCT116"	"HCT116-infected"	"Infected"
"P2_E07_S151"	"P1"	"S1"	"P2"	"P2_E07_S151"	"HCT116"	"HCT116-infected"	"Infected"
"P2_E08_S152"	"P1"	"S1"	"P2"	"P2_E08_S152"	"HCT116"	"HCT116-infected"	"Infected"
"P2_F03_S159"	"P1"	"S1"	"P2"	"P2_F03_S159"	"HCT116"	"HCT116-infected"	"Infected"
"P2_F05_S161"	"P1"	"S1"	"P2"	"P2_F05_S161"	"HCT116"	"HCT116-infected"	"Infected"
"P2_F07_S163"	"P1"	"S1"	"P2"	"P2_F07_S163"	"HCT116"	"HCT116-infected"	"Infected"
"P2_F08_S164"	"P1"	"S1"	"P2"	"P2_F08_S164"	"HCT116"	"HCT116-infected"	"Infected"
"P2_F10_S166"	"P1"	"S1"	"P2"	"P2_F10_S166"	"HCT116"	"HCT116-infected"	"Infected"
"P2_F11_S167"	"P1"	"S1"	"P2"	"P2_F11_S167"	"HCT116"	"HCT116-infected"	"Infected"
